movieId,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
60128,0.523913,0.417728,0.652027,0.402459,0.359286,0.486792,0.351036,0.503458,0.109378,0.249165
4305,0.740353,0.691990,0.057186,0.856933,0.557093,0.196436,0.558125,0.238211,0.874060,0.393146
91548,0.140151,0.178275,0.278123,0.745754,0.211010,0.550906,0.712335,0.603104,0.746770,0.721423
92535,0.898435,0.294991,0.264674,0.953823,0.833845,0.735010,0.207319,0.189353,0.524306,0.762669
60684,0.288332,0.404974,0.563454,0.105683,1.024821,0.504272,0.555611,0.965000,0.562056,0.402153
5059,0.612287,0.815422,0.226188,0.134840,1.042229,0.507901,0.122274,0.821854,0.906239,0.681928
8372,0.477850,0.078971,0.021099,0.569069,0.836882,0.069270,0.312183,0.762969,0.002128,0.304362
1372,0.552392,0.218306,0.246510,0.913218,0.770623,0.223520,0.808489,0.734916,0.782489,0.170598
6001,0.966914,0.925093,0.773497,0.847790,1.012981,1.033428,0.099336,0.446237,0.178838,0.492607
8056,0.785009,0.109168,0.993255,0.021064,0.698286,0.070137,0.435283,0.036585,0.697473,0.363576
4526,0.339013,0.287096,0.697062,0.594840,0.529216,0.602474,0.008549,0.147723,0.677780,0.781593
45440,0.163019,0.215693,0.755762,0.380327,0.120013,0.249305,0.420207,1.013866,0.055858,0.982694
43267,0.323128,0.272471,-0.005197,0.451666,0.705406,0.128359,-0.007078,0.309322,0.133063,0.497775
3475,0.709850,0.661950,0.950295,0.363638,0.415284,0.280749,0.438444,0.640502,0.583357,0.840912
2424,0.361157,0.897312,0.461463,0.597849,0.790283,0.399921,0.010387,0.748762,0.354603,0.968738
3676,0.967668,0.204572,0.842650,0.975981,0.572146,0.587734,0.410368,0.274034,0.437578,0.552003
27839,0.209019,0.271900,0.956548,0.121997,0.975898,0.201279,0.338047,0.386074,0.108799,0.695965
3105,0.782502,0.221569,0.404185,0.561964,0.291370,0.644944,0.773038,0.728002,1.022985,0.251833
3849,0.317295,0.306868,0.571584,0.803720,0.508048,0.554600,0.302433,0.666172,0.775164,0.501289
8528,0.447476,0.113369,0.589322,0.371004,0.686241,0.077918,0.265489,0.685239,0.403698,0.418705
67267,0.268684,0.966395,0.850013,0.555665,0.109642,0.204088,0.785127,0.355662,0.160332,0.489009
72479,0.303502,0.614759,-0.084719,0.766475,0.019870,0.021614,0.098858,0.830720,0.871414,0.584216
88812,0.095595,0.134603,0.259755,0.587850,0.148312,0.356118,0.605080,0.969969,0.258577,0.329433
2621,0.305832,0.914533,0.656106,0.212997,0.266618,0.486132,0.063134,0.392818,0.946690,0.782576
43396,0.843973,0.914600,0.480692,0.539544,0.773495,0.898824,0.802353,0.407391,0.603902,0.828544
832,0.095616,0.881673,0.302932,0.532012,0.556372,1.026390,0.120560,0.196535,0.876591,0.288940
2548,0.294102,0.786787,0.063076,0.282298,0.754896,0.206693,0.042866,0.097426,0.103641,0.569726
2461,0.638132,0.082990,0.054371,0.655194,-0.006746,-0.051964,0.816134,0.776154,-0.065262,0.050772
2733,0.534677,0.539081,0.851070,0.652023,0.091571,0.026048,0.665147,0.657324,0.994463,0.272856
5628,0.193543,0.040922,0.898752,0.419430,0.531570,0.071993,0.560141,0.861504,0.131336,0.949922
917,0.175891,0.697203,0.664755,0.310512,0.310024,0.711467,0.814158,0.406120,0.755509,0.721674
6298,0.322481,0.384064,0.557823,0.808461,0.335429,0.195948,0.493016,0.211107,0.225033,0.163913
1575,0.720741,0.573008,0.494422,0.197422,0.072084,0.474683,0.746592,0.136446,0.248006,0.410596
377,0.158112,0.501068,0.591903,0.520314,0.755348,0.158178,0.860281,0.383181,0.234524,0.922537
79029,0.522792,0.861603,0.638002,0.194479,0.911702,0.323764,0.766745,0.540430,0.198100,0.959091
88106,0.706874,0.303330,0.944838,0.917083,0.060930,0.808476,0.138292,0.664985,0.928805,0.883150
5515,0.320176,0.349205,0.219427,0.836753,0.446914,0.712104,0.913479,0.332500,0.294837,0.086142
7063,0.537445,0.087893,0.145134,0.875180,0.759078,0.387394,0.648645,0.287363,0.377235,1.051912
2350,0.428372,0.239249,0.340644,0.592769,0.086194,0.365819,0.570402,0.433809,1.016138,0.710614
39416,0.598366,-0.044476,0.014531,0.241417,0.741283,0.445198,-0.061014,0.716056,0.831656,0.304637
2575,0.522435,0.476634,0.788328,0.324998,0.642426,0.410363,0.857692,0.664630,0.034153,0.866378
3334,0.895131,0.641554,0.152296,0.972445,0.956115,0.612576,0.644815,0.569843,0.089811,0.758346
5061,0.945999,0.470361,0.359744,0.455323,0.521481,0.162363,0.767040,0.131692,0.489226,0.704848
3860,0.354760,0.157109,0.414871,0.097849,0.181700,0.502670,0.958077,0.828254,0.376416,0.846223
138208,0.683280,0.757960,0.784239,0.027056,0.827562,0.495181,0.878243,0.251765,0.952754,0.806542
8830,0.331776,0.537923,0.623905,0.099027,0.335657,0.815643,0.770881,0.441666,0.708621,0.723890
4887,0.857857,0.889255,0.706520,0.581518,-0.017915,0.855155,0.588747,0.740848,0.824456,0.385236
4975,0.213049,0.854934,0.182058,0.904325,0.567762,0.372135,0.371910,0.672485,0.774012,0.379090
3109,0.927455,0.095031,0.418998,0.204083,0.808490,0.523362,0.263244,0.172684,0.928276,0.642068
1881,0.312570,0.335845,0.842150,0.311463,0.556658,0.974067,0.138770,0.587781,0.714474,0.785154
1699,0.501021,0.971252,0.319914,0.225519,0.787486,0.478547,0.778947,0.152384,0.884938,0.924715
5932,0.173758,0.732502,0.198194,0.224788,0.096919,0.847757,0.568413,0.577176,0.167175,0.967463
5227,0.332344,0.016022,0.196932,-0.033128,0.392441,0.551012,0.017954,0.845293,0.651477,0.911048
577,0.172911,0.319080,0.257867,0.888743,0.447484,0.815140,0.627969,0.299467,0.271115,0.146941
8361,0.193427,0.464096,0.350894,0.182195,0.560308,0.381641,0.497630,0.352936,0.603132,0.926068
2565,0.045980,0.612353,0.629968,0.883941,0.108407,0.656405,0.335007,0.870398,0.738874,0.852993
98587,0.242900,0.724416,0.286239,0.284711,0.280297,0.635657,0.170363,0.755044,0.380271,0.636451
540,0.193564,0.514198,0.248302,0.726544,0.060260,0.270309,0.491822,0.652600,0.132780,0.490606
3454,-0.001878,0.290672,0.673736,0.254732,0.825675,0.648293,0.703188,0.075387,0.238533,0.204675
4380,0.914984,0.373233,0.231792,0.129886,0.128499,0.450933,0.330324,0.449814,0.771319,0.134415
33296,0.072250,0.412793,0.467782,-0.034318,0.594638,0.893083,0.313913,0.178582,0.431220,0.107165
1485,0.274992,0.821345,0.149414,0.525771,0.576701,0.835933,0.126395,0.106260,0.807869,0.440501
8208,0.678235,0.123408,0.545448,0.708521,0.175490,0.718994,0.133042,-0.039635,-0.032421,0.117621
4217,0.239190,0.332333,0.434109,0.515969,0.733868,0.844862,0.906991,0.281585,0.886967,0.936818
1866,0.061866,0.296941,0.863547,0.864954,0.727141,0.861949,0.778646,0.358848,0.694537,0.016764
43351,0.600081,0.793246,0.321027,0.094480,0.979735,0.510211,0.648204,0.684365,0.874386,0.104064
70121,0.687453,-0.034805,0.290450,0.488131,0.631455,0.590095,0.324244,0.271838,0.172430,-0.018178
8121,0.138281,0.195158,0.925184,0.459066,0.476581,0.526567,0.549858,0.690476,0.626016,0.754572
3,1.003375,0.025301,0.796633,0.174915,0.193824,0.943688,0.047208,0.111309,0.467775,0.188597
