movieId,avgRating,numRating
70465,3.46,13
74946,3.10,316
97886,2.25,2
106611,2.50,6
3031,2.29,139
3143,3.46,66
6288,3.46,173
8529,3.42,2377
160656,3.51,34
124344,0.00,0
130036,3.50,3
150387,3.50,2
67957,3.61,19
92781,4.25,2
132610,0.50,1
154069,2.00,1
141550,1.88,4
160974,5.00,1
960,3.36,47
6090,2.88,21
100737,2.95,89
140557,2.50,1
121101,3.50,1
162638,3.00,4
26312,3.38,4
85205,4.00,2
90419,3.75,2
98491,3.91,476
27626,2.25,2
38994,3.27,32
153762,5.00,1
157379,2.00,1
143693,0.00,0
155650,0.00,0
167646,0.00,0
1420,3.41,11
94423,4.50,1
122292,2.85,10
122373,0.50,1
172845,3.00,1
5685,3.52,255
7616,3.32,165
64229,3.51,59
122894,2.27,15
106688,1.12,4
131596,3.00,1
138806,0.00,0
1999,2.68,340
25832,3.72,9
55245,2.64,273
70792,2.00,3
118498,3.00,2
141072,3.50,6
145771,3.00,3
169932,0.50,1
2348,3.53,659
3946,2.42,373
4871,3.40,88
76182,2.00,2
172763,3.00,5
60128,3.05,69
105509,3.33,6
143450,0.00,0
149084,2.50,1
41699,3.48,20
102213,2.83,3
121487,3.25,2
147698,0.00,0
1933,3.47,73
2945,2.72,46
25738,3.23,24
105805,0.00,0
166910,3.50,1
168478,5.00,2
6815,3.25,81
7152,2.78,34
37689,1.83,3
60490,0.00,0
131590,0.00,0
136810,0.50,1
142780,0.00,0
154888,4.00,1
2217,1.50,3
4112,3.00,10
87314,2.75,14
93134,3.63,35
123441,0.00,0
129640,0.00,0
141718,3.30,43
158846,3.00,4
823,3.51,36
1960,3.85,1791
6045,2.97,49
123163,3.50,1
163376,0.00,0
4032,2.98,32
82320,4.50,1
100157,3.25,4
100591,4.00,1
106529,3.00,1
118898,3.54,171
123225,4.00,1
2825,3.21,17
27131,3.83,6
55373,3.67,3
66981,1.75,2
140946,3.12,4
170525,3.50,1
26644,3.54,14
71160,3.12,21
83279,0.00,0
125211,4.00,1
136475,3.10,10
141940,3.00,2
146220,0.00,0
4885,2.67,196
100467,2.50,1
109127,1.50,1
120631,3.33,3
153352,2.17,3
154198,2.00,1
161594,3.53,17
162468,0.00,0
151881,0.00,0
158996,0.00,0
169580,0.00,0
170815,1.67,3
5681,3.61,22
78772,2.18,629
135190,4.17,6
143727,0.00,0
161336,1.62,4
60391,2.90,5
89730,3.60,5
147986,0.00,0
152938,0.00,0
138192,1.00,1
169182,0.00,0
173373,3.50,1
47880,2.33,3
75421,3.50,1
132247,1.00,1
135739,0.50,1
88087,3.00,1
105772,0.00,0
112807,3.36,7
369,3.19,248
50064,2.92,155
84312,1.33,52
87618,3.00,5
148460,0.00,0
175895,3.00,1
6568,3.15,121
43684,3.43,71
59053,3.04,14
109833,3.00,1
7481,3.45,429
132989,3.25,6
170153,2.60,5
8712,3.77,123
108590,1.50,1
121178,0.00,0
147250,4.20,10
3476,3.63,1489
51077,2.39,936
73829,1.62,48
84952,3.77,82
167958,3.00,2
25938,3.46,83
26388,2.81,16
73778,3.62,4
161018,0.00,0
94931,3.38,103
104241,3.04,547
107771,3.58,279
136778,2.00,1
371,3.13,611
4302,3.15,26
8528,3.19,2238
73284,2.25,4
6287,2.82,1765
8044,3.86,111
49282,2.10,75
78465,3.50,4
1200,3.97,5593
1894,2.71,1425
2143,3.17,1028
3483,3.22,711
133657,4.00,1
136868,0.50,1
169836,0.00,0
91075,3.33,3
104569,0.00,0
111387,2.94,45
125393,0.00,0
107032,1.75,2
109189,3.16,32
172855,0.00,0
6314,3.19,82
40033,3.39,23
67702,3.33,3
102417,0.00,0
129820,3.77,13
136501,3.15,13
140208,2.50,1
146406,2.50,1
1025,3.55,1507
5315,2.54,36
26498,3.73,11
51917,2.17,15
148642,4.50,1
149692,4.75,2
166377,0.00,0
122629,0.00,0
156799,0.00,0
175587,0.00,0
85,3.45,476
6109,2.83,45
86504,3.97,317
99251,3.50,1
162914,3.00,1
170979,3.00,1
171777,0.00,0
3913,2.91,41
117718,0.00,0
131419,2.67,3
143613,4.00,1
148644,2.75,2
152737,0.00,0
162602,3.20,159
26181,3.19,37
71634,3.00,5
116849,2.32,17
136986,2.75,2
140585,0.00,0
155968,3.82,84
1485,3.15,4207
1649,3.78,384
90424,3.00,12
130508,3.93,29
87210,1.75,6
99351,2.00,6
146291,2.00,1
164659,4.00,1
167526,0.00,0
65521,2.25,4
85565,3.24,38
146106,0.00,0
158864,3.43,7
152051,1.50,1
117712,0.00,0
152218,0.00,0
154778,3.00,1
158663,0.00,0
1852,3.17,3
3226,2.75,2
46034,3.00,6
116447,2.75,2
167108,4.50,1
3371,3.63,77
117893,2.78,27
153552,4.50,1
157496,0.00,0
141185,0.00,0
163398,0.00,0
168434,0.50,1
68205,3.05,516
97904,3.50,32
135643,1.56,8
1010,3.01,714
1931,3.86,519
4784,3.57,241
51905,4.00,1
171491,3.00,1
175553,0.00,0
6366,2.80,44
80195,4.50,4
91054,3.36,7
107410,3.58,24
4768,3.70,63
103078,2.50,2
124757,1.50,1
1742,2.31,8
26777,3.21,7
119645,3.00,1
121931,0.00,0
140212,3.00,14
151509,3.00,1
153933,0.00,0
80844,3.27,37
86181,3.67,3
95875,3.06,749
113793,2.00,2
162832,4.00,1
166916,2.67,3
4450,3.40,310
27692,3.00,9
98045,4.25,2
173943,3.67,3
159,3.31,483
102078,0.00,0
124414,0.00,0
152900,0.00,0
160529,3.50,1
168648,0.00,0
287,3.01,62
65562,3.38,4
81085,2.83,3
85270,3.33,3
78949,3.50,2
96052,3.88,4
119143,0.00,0
129935,3.50,2
451,3.03,196
2978,2.91,316
4936,3.24,411
5880,2.02,31
114670,2.76,106
121277,1.33,3
129470,3.00,1
171141,4.50,4
2765,3.27,73
7490,3.76,17
42987,3.73,11
59810,3.58,111
170789,2.25,2
141866,3.71,173
171717,0.00,0
80926,2.42,6
99815,1.75,2
107226,0.00,0
115598,0.00,0
141317,1.50,1
143529,3.50,2
6879,3.48,1126
65780,0.00,0
105377,2.00,1
133069,2.00,1
8371,3.17,1572
155699,0.00,0
169804,1.00,1
33838,3.80,61
72947,3.67,9
86839,3.50,1
107232,2.50,7
121330,2.09,11
135979,3.30,5
2840,2.93,1239
3122,3.20,45
53953,3.21,1002
114363,0.00,0
173769,4.00,1
1962,3.65,2187
71533,2.67,24
137172,0.00,0
158651,0.50,1
1795,3.43,15
91362,2.00,1
127721,0.00,0
166179,3.00,1
4766,3.01,49
142588,0.00,0
152523,2.50,1
164821,3.23,43
171171,0.00,0
69136,3.45,11
69231,2.50,2
99043,3.20,5
130376,2.00,1
90086,3.50,2
141156,0.00,0
159281,0.00,0
165633,4.00,1
902,3.74,2287
6076,2.81,24
31040,3.25,4
84450,3.00,1
171925,3.81,8
545,2.50,14
105767,0.00,0
141954,2.29,7
152141,3.50,1
169102,2.75,2
65045,2.68,38
77981,3.00,5
119693,3.00,2
133800,0.50,1
38095,3.69,114
114392,3.35,51
115998,4.50,1
1466,3.77,2800
132662,1.50,1
169482,2.50,1
163677,2.75,2
165787,0.00,0
3931,1.87,65
59888,4.00,1
82461,3.18,1232
161612,0.00,0
4518,2.87,202
7365,3.66,82
99813,3.69,271
124472,3.00,1
106768,3.50,3
135889,3.08,13
136010,2.00,1
8813,3.14,123
34240,4.00,3
72290,3.25,4
89112,3.50,1
25952,3.59,52
26616,3.45,39
72209,3.19,120
80893,2.00,4
79686,2.50,2
81029,3.62,4
116463,3.38,4
135522,0.00,0
328,3.02,448
1160,3.67,18
25816,3.00,1
77326,2.77,13
158840,4.50,1
167546,3.16,32
2961,2.73,406
27618,2.33,103
170377,0.50,1
173719,0.00,0
155283,2.00,1
165747,3.00,1
173757,0.00,0
4212,3.46,215
105001,3.88,4
114698,0.00,0
146866,3.42,12
175545,0.00,0
8727,3.21,41
120921,3.50,1
130986,1.50,1
154524,1.00,1
47778,3.60,58
87483,2.76,165
98200,3.00,1
112640,2.33,9
2641,3.12,2320
9006,3.00,1
27509,3.14,32
31152,3.08,6
176151,0.00,0
142074,2.52,68
153802,0.00,0
172163,4.00,1
174591,2.50,1
5645,3.12,25
6257,3.12,36
174215,0.00,0
175589,3.00,1
120282,3.00,2
129749,3.45,10
131002,3.67,3
136217,2.44,9
25824,4.00,8
42018,3.42,184
79545,2.79,7
90559,3.50,3
149424,3.25,2
152181,3.50,1
171787,0.00,0
175823,2.50,1
2064,3.85,1747
138796,3.50,1
152031,2.81,8
170649,2.00,1
68835,3.52,24
72011,3.68,1516
159167,1.75,2
167090,3.75,2
8877,3.00,3
49746,3.20,5
65230,3.17,518
66596,3.20,53
170637,3.50,2
163907,4.00,1
8724,3.78,122
8960,2.50,6
31524,3.52,26
57709,2.50,1
98483,3.00,2
106762,3.39,31
113039,2.00,2
131842,2.57,15
1260,4.09,1126
2102,3.50,416
59667,0.00,0
63515,3.52,57
174079,0.00,0
150280,2.00,1
162744,0.00,0
163036,2.50,1
171809,4.25,2
5691,1.99,181
41716,3.38,476
86295,2.78,231
89302,3.59,40
149080,0.00,0
166918,2.92,77
168348,2.00,3
5139,3.43,467
6088,2.50,12
36312,3.00,2
107445,2.90,5
77810,2.70,15
119804,2.50,1
140737,4.04,55
126341,0.00,0
150318,0.00,0
714,3.77,1027
6326,3.04,50
27416,3.54,126
123014,0.00,0
171479,0.50,2
175855,4.50,1
5573,2.34,185
6305,3.56,555
137290,2.75,2
144366,1.94,8
138460,4.00,2
153935,5.00,1
173751,3.00,2
160,2.31,2152
3850,2.54,13
77359,3.44,59
97008,0.00,0
154780,4.00,1
97552,3.25,2
113128,2.00,1
121005,3.00,1
146386,0.00,0
120837,0.00,0
140743,4.00,1
141976,2.56,8
174453,4.00,1
26043,3.10,24
110412,0.00,0
163761,3.83,3
155042,2.50,2
155669,0.00,0
158701,0.00,0
171143,0.50,1
45581,3.00,4
65709,3.40,21
134617,0.00,0
139575,2.72,9
116965,2.50,1
144364,3.00,4
169842,2.50,10
117572,2.75,8
149982,4.00,1
1017,3.49,846
64701,3.78,115
85312,3.96,50
115287,2.81,8
146806,4.00,1
6026,2.95,10
46105,3.21,19
51094,2.93,35
130846,4.00,1
101423,3.00,1
130970,3.66,52
606,2.24,294
4071,1.00,1
7406,3.38,25
27273,4.00,1
113304,3.50,1
157006,0.00,0
170443,3.50,1
2721,3.42,128
54934,2.44,51
81744,1.25,4
97460,2.50,1
72731,3.14,378
146329,3.58,6
112473,3.44,9
117115,2.67,3
163382,3.00,1
173143,5.00,1
46572,2.90,69
93931,2.50,1
102976,0.00,0
108873,3.60,5
173639,5.00,1
74681,2.60,5
130516,2.50,2
140123,3.00,1
7266,3.29,65
31606,3.25,2
58617,1.33,3
71246,3.63,27
130374,4.33,3
5453,3.55,75
86410,2.49,43
114818,3.10,64
121620,0.00,0
143781,3.00,1
3045,3.17,321
8886,2.52,31
70511,1.75,2
117308,2.89,19
151505,3.00,1
155415,0.00,0
161155,0.50,1
163925,3.21,7
114170,4.00,1
125001,0.00,0
143253,0.00,0
143657,3.42,133
167554,0.00,0
58379,3.00,18
62277,3.21,7
112187,2.00,1
151224,0.00,0
129851,1.50,1
151416,0.00,0
87973,3.50,5
90843,3.62,4
106836,3.50,1
126925,3.00,1
165743,5.00,1
166657,1.00,1
2104,3.20,97
3636,2.78,16
105794,2.07,7
113103,3.15,27
139411,1.00,1
86170,3.33,3
87332,3.12,4
92124,4.00,2
133083,3.00,1
147855,0.00,0
152059,2.83,40
162164,0.00,0
65514,3.82,585
81957,2.60,5
94539,2.38,4
100653,0.00,0
117847,1.00,2
142492,3.70,70
158157,4.50,2
173407,4.25,2
131630,3.50,1
2615,2.94,336
2628,2.93,6083
8670,3.92,110
47423,3.59,417
163951,2.00,10
43869,2.81,116
97870,3.63,132
98279,3.05,56
113218,3.25,4
805,3.51,1831
116102,0.00,0
90916,2.48,21
102066,3.29,31
146060,0.00,0
162578,3.76,283
163034,3.00,1
169748,1.00,1
91488,3.56,70
100505,3.10,5
127669,0.00,0
141808,0.00,0
4453,3.06,51
26497,3.39,36
132008,3.75,2
142204,3.00,8
95611,2.62,4
110586,3.72,212
113325,3.00,1
129346,2.20,5
2066,3.99,371
2374,2.84,513
8678,2.96,23
43549,2.70,15
140182,0.00,0
158214,3.00,1
164663,0.00,0
175963,3.50,1
6571,3.60,82
7243,3.66,89
36426,0.00,0
166449,0.00,0
111856,2.41,16
3557,2.87,276
8907,2.73,956
97789,4.50,1
99114,3.92,2223
6872,1.27,176
8614,3.18,395
31408,3.63,39
66250,3.00,1
118274,0.00,0
128197,2.50,1
170927,0.00,0
4336,3.57,183
5206,2.33,23
7033,3.11,248
7214,2.45,11
26949,3.08,20
118113,3.25,2
167056,0.00,0
167826,3.25,2
158665,0.00,0
5482,2.08,75
80189,1.50,1
137134,0.00,0
153024,4.50,1
112206,0.00,0
127152,3.82,210
136966,3.00,1
4772,3.72,86
7582,3.08,13
8238,2.94,24
111253,3.50,1
88704,3.50,8
153180,0.00,0
1116,3.10,51
8404,3.68,138
8921,3.45,33
78376,4.00,3
97779,3.55,20
149652,2.83,3
154838,3.00,1
161192,0.00,0
117545,3.76,37
121157,1.83,3
136932,2.79,7
160557,3.50,4
454,3.36,3207
5850,3.50,12
33863,3.50,4
99530,3.52,30
161362,0.00,0
94491,2.40,5
128612,3.50,2
166231,5.00,1
81,3.09,628
27642,1.88,8
101262,2.84,25
123198,3.33,3
150536,3.25,2
56102,2.00,1
59976,3.75,18
81238,0.00,0
110635,3.17,3
113757,3.00,1
133986,0.00,0
3199,3.34,87
7008,3.35,346
73513,3.74,23
113686,0.00,0
121035,2.98,20
165655,2.50,2
169410,3.00,1
3834,2.81,181
6330,2.84,56
72224,2.93,42
117954,0.00,0
130085,4.17,3
164443,0.00,0
32864,3.15,10
44161,2.67,6
95449,3.00,243
96181,3.00,10
126595,2.86,7
135589,2.83,3
146830,0.00,0
169336,0.00,0
264,3.20,50
1948,3.71,391
32060,2.78,16
100581,3.11,74
170837,0.50,1
104054,2.50,2
133630,0.00,0
162932,0.00,0
165307,5.00,1
31203,2.67,3
105769,3.26,72
151210,0.00,0
161159,2.00,1
134627,4.50,1
167074,0.00,0
2526,2.36,152
3452,2.89,1198
157288,0.00,0
107877,1.50,2
130540,0.00,0
165717,0.00,0
959,3.73,127
3319,3.08,49
6505,2.89,32
94314,2.57,7
132452,3.50,1
159139,4.00,1
172705,4.00,1
6544,3.29,36
26493,3.11,27
27186,3.39,71
119856,0.50,1
168068,0.50,1
446,3.80,680
113703,2.40,5
138498,3.75,2
150564,2.00,1
53880,3.40,15
71248,3.01,238
87636,3.36,7
102951,3.62,4
2356,2.95,369
4001,2.74,57
6401,3.39,72
37736,3.28,155
131904,0.00,0
158216,0.00,0
173489,0.00,0
106275,3.00,1
121592,2.50,1
3975,2.25,155
7565,2.33,12
43011,2.92,13
106090,3.00,4
131451,3.13,15
172695,4.00,1
2133,3.19,1328
7144,3.83,3
87366,3.50,1
127726,2.00,2
166653,3.17,3
90821,2.88,4
157879,4.00,1
161656,4.00,1
164765,5.00,1
88633,2.00,1
90943,3.66,79
131769,2.00,1
132060,3.50,1
3172,3.35,24
7221,3.53,30
58994,2.00,1
82751,0.00,0
158039,2.00,1
148612,3.00,1
150282,0.00,0
152561,0.00,0
157377,0.00,0
68952,3.11,659
78224,3.17,3
98587,3.22,9
121338,2.25,2
2950,2.41,1058
8506,2.76,33
8781,3.28,1046
61289,3.05,91
141757,1.33,3
151903,3.50,1
145168,3.25,2
147212,2.38,4
147352,1.62,4
153782,0.50,1
479,2.90,361
84529,3.00,2
109106,3.00,1
124509,2.00,1
171233,3.00,1
123457,0.00,0
125329,0.00,0
159405,0.00,0
42152,3.39,9
90005,3.30,5
97849,3.00,1
103186,1.67,3
174621,3.75,2
113845,0.00,0
119041,0.00,0
142519,3.50,2
155080,0.00,0
85792,2.50,2
94478,2.92,521
98996,4.50,1
136836,2.50,1
2335,2.81,2005
5481,2.87,2974
37683,2.00,4
81075,2.93,7
146066,0.00,0
157268,3.37,43
168172,3.50,3
168314,0.00,0
91622,3.14,270
93498,3.72,143
123252,0.00,0
128381,0.00,0
155750,3.50,1
174893,1.93,7
3209,2.38,8
26295,2.62,4
73390,3.60,5
143492,4.00,1
85392,3.39,9
100511,3.78,9
103066,3.67,3
133767,2.62,4
3180,2.56,115
3412,3.48,343
4891,2.00,2
5934,3.00,1
169564,0.00,0
170675,3.50,3
139753,3.00,1
140549,3.00,5
151567,0.00,0
163078,0.00,0
72630,3.22,38
86288,2.75,4
158250,2.75,2
124775,0.00,0
160506,3.25,2
25829,0.75,2
38435,2.33,3
114702,2.50,2
123155,3.50,1
2457,3.24,420
122801,0.75,2
144968,1.00,1
85694,0.00,0
87964,2.60,5
111525,0.00,0
140188,3.67,3
145831,0.00,0
3032,3.31,556
26729,3.93,328
39439,2.25,2
116399,3.75,2
26110,3.44,9
79832,3.57,15
93885,4.50,1
112637,2.00,1
1861,3.18,28
5616,2.50,3
6253,0.50,1
6278,3.45,10
122601,0.00,0
131462,0.00,0
133643,2.00,2
167116,2.00,1
4822,2.31,75
142186,1.67,3
173117,0.00,0
5114,3.75,101
39425,3.33,3
78631,1.29,7
119430,3.50,1
60816,3.48,117
72784,2.10,5
75438,2.66,43
106415,3.00,1
148921,2.25,4
123200,3.52,20
151105,0.00,0
171811,3.75,2
27826,3.34,34
79247,3.50,1
84414,3.40,59
115534,2.28,77
135041,0.00,0
161240,3.33,9
168932,0.00,0
913,4.12,2431
8486,3.44,27
41650,3.50,2
57536,2.34,77
4266,2.57,88
73245,3.12,4
121417,1.00,1
121461,1.50,1
165687,0.00,0
173621,0.00,0
47935,3.00,6
71530,3.16,837
100536,4.00,1
136373,2.75,8
134777,2.50,4
172835,2.75,2
173057,0.00,0
173801,1.50,1
1443,2.33,3
53464,2.59,1147
95058,2.56,120
98193,3.83,26
123647,0.00,0
1088,3.10,2949
3403,2.52,63
5189,2.64,40
49649,2.44,581
176143,0.00,0
6267,2.65,36
27604,3.28,130
113638,3.50,1
166733,4.00,1
170018,4.00,1
39234,3.54,238
101114,1.58,6
104031,3.50,2
155149,1.33,3
118568,3.50,1
123016,0.00,0
133297,5.00,1
170319,0.00,0
5374,1.61,19
54020,3.07,7
102138,3.25,2
113534,3.78,9
158988,0.00,0
163553,3.00,3
172405,0.00,0
2148,2.89,387
71327,3.33,107
72751,3.12,12
110584,3.00,4
152635,3.50,1
32783,3.17,6
76699,3.50,1
140495,0.00,0
140761,0.00,0
71693,3.78,9
120815,3.77,11
165679,0.00,0
84716,3.79,78
58434,3.07,14
84276,3.71,7
89896,3.83,35
130056,0.00,0
3213,3.50,555
143154,0.00,0
150383,0.00,0
1302,3.58,3091
132569,3.16,22
164817,4.50,1
171969,4.50,1
174915,0.00,0
1904,3.49,307
26177,3.20,5
79844,0.00,0
85736,3.77,226
3074,3.63,455
9015,2.50,13
139205,3.75,6
152043,0.00,0
143577,0.00,0
149806,4.50,1
1815,3.67,3
5794,3.55,50
27602,1.71,7
136850,3.50,1
139507,2.33,3
145307,1.70,5
170915,0.00,0
100743,2.50,1
118738,0.00,0
159057,3.00,1
169538,0.00,0
1744,2.35,138
6202,3.46,49
27734,3.18,14
49932,3.41,285
171877,2.00,1
103366,2.94,81
130338,0.00,0
152326,4.00,1
164520,0.00,0
184,3.08,79
103411,0.00,0
164435,2.50,3
86337,3.00,1
100240,0.00,0
115834,0.00,0
124368,0.00,0
8571,3.01,61
8885,2.90,42
47634,3.51,48
58154,3.18,331
132975,4.00,1
160750,0.00,0
132634,2.38,4
5544,3.59,292
6342,3.24,23
31921,3.46,26
89638,3.65,17
84162,3.00,1
137166,2.00,1
25891,3.34,88
33415,3.08,6
47460,4.11,9
72037,3.53,15
148438,3.00,2
159896,0.00,0
167432,0.00,0
174055,3.99,82
58847,3.00,3
84805,3.50,5
90849,0.00,0
105753,2.70,5
169456,1.50,1
84770,3.52,21
97986,3.41,11
109738,3.14,7
124783,0.00,0
129005,3.50,1
135797,2.50,3
324,3.68,116
73226,4.00,1
108791,3.40,10
119714,4.07,7
132995,3.25,4
4251,3.58,307
7089,3.74,269
7195,3.38,28
86345,3.87,385
108156,2.84,126
109287,0.00,0
145303,0.00,0
147833,3.79,7
143603,0.00,0
1867,2.06,81
5980,3.25,113
7650,3.24,63
139845,3.50,1
108476,2.70,5
128740,3.50,2
142566,3.75,6
148950,0.50,1
1603,2.73,960
26745,3.05,65
45730,2.77,547
58439,3.25,16
161052,0.00,0
163154,1.00,1
175443,3.00,1
175533,3.00,1
84538,2.00,1
97919,2.50,1
138340,2.00,1
160229,0.00,0
4858,3.38,16
132534,3.00,1
5032,2.21,12
120516,0.00,0
102415,0.00,0
111718,3.00,1
7785,3.78,30
51562,3.39,75
59485,3.90,10
