movieId,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
115664,0.992868,0.867973,0.520792,0.615256,0.851316,0.128901,0.852215,0.426022,0.945785,0.799249
1881,0.588032,0.940517,0.897609,0.678452,0.104718,0.516185,0.195167,0.099256,0.359406,0.918746
2377,0.369709,0.700774,0.840112,0.696553,0.263347,0.656201,0.819103,0.961229,0.576416,0.233585
277,0.762886,0.429814,0.956427,0.597020,0.116853,0.428546,0.163277,0.559236,0.797841,0.588855
42721,0.129208,0.420567,0.086054,0.185773,0.994542,0.454589,0.565419,0.775593,0.336051,0.662403
4567,0.404788,0.671328,0.607618,0.768035,0.966690,0.917770,0.555945,0.530561,0.912439,0.344421
4999,0.380488,0.240114,0.092305,0.189576,0.127468,0.554753,0.133721,0.801444,0.664278,0.778179
45726,0.690482,0.414538,0.202414,0.733276,0.145626,0.308095,0.646358,0.525697,0.882760,0.483304
6298,0.808524,0.893788,0.572335,0.874379,0.282707,0.107241,0.197331,0.419238,0.119989,0.957816
1432,0.701301,0.153196,0.976554,0.324317,0.759499,0.089658,0.615995,0.752781,0.466673,0.445299
49314,0.957501,0.894552,0.744820,0.426771,0.657490,0.294142,0.154190,0.602159,0.673094,0.526610
3043,0.932537,0.953867,0.513984,0.469861,0.247747,0.092920,0.345925,0.723294,0.769729,0.099072
3859,0.222977,0.446238,0.964269,0.525576,0.710276,0.966004,0.027762,0.232876,0.412039,0.917006
2335,0.648888,0.379973,0.221324,0.059248,0.955562,0.385162,0.596995,0.192958,0.012976,0.405132
6271,0.338823,0.077465,0.653140,0.819855,0.402546,0.260125,0.583235,0.668846,0.500221,0.420603
3900,0.517905,0.121192,0.229390,0.710144,0.417426,0.349467,0.990203,0.600894,0.895207,0.607870
3754,0.885521,0.894972,0.599706,0.909795,0.866068,0.420609,0.615962,0.054693,0.437961,0.564523
3143,0.007957,0.804721,0.707287,0.140320,0.522221,0.721687,0.049926,0.305297,0.618310,0.843262
4441,0.099451,0.067565,0.098799,0.239656,0.721284,0.089513,0.019556,0.170812,0.921948,0.130636
3744,0.592895,0.060446,0.482404,0.753096,0.390599,0.497838,0.694332,0.991184,0.268828,0.881929
64499,0.357579,0.217391,0.439254,0.197886,0.826270,0.829259,0.169036,0.114188,0.991353,0.329583
110453,0.561399,0.091700,0.383359,0.492842,0.203107,0.271775,0.275291,0.855280,0.464050,0.582512
2836,0.895986,0.177291,0.469296,0.675946,0.201166,0.155000,0.210354,0.013493,0.884416,0.581447
90738,0.701947,0.747098,0.373637,0.812840,0.248959,0.632965,0.679069,0.438767,0.619784,0.165807
73386,0.980875,0.343185,0.013501,0.731784,0.170432,0.893141,0.775291,0.523012,0.623881,0.783304
59126,0.245945,0.849413,0.877452,0.073466,0.918671,0.768308,0.727828,0.310510,0.566508,0.534635
1921,0.093438,0.751947,0.325207,0.677170,0.206614,0.087723,0.374217,0.125874,0.652806,1.001054
6484,0.076932,0.476857,0.451945,0.116945,0.430234,0.471497,0.939581,0.602176,0.925166,0.152868
4682,0.450199,0.354007,0.519564,0.826445,0.368738,0.797924,0.607052,0.327970,0.333867,0.342052
6958,0.163248,0.113504,0.279706,0.486087,0.100998,0.123934,0.467214,0.028059,0.660266,0.462745
54736,0.513453,0.613842,0.313882,0.440293,0.093163,0.325029,0.656962,0.385975,0.359047,0.685667
34583,0.051442,0.487492,0.168704,0.239212,0.874113,0.490773,0.477170,0.525786,0.732707,0.033286
109864,0.083725,0.763422,0.793416,0.195207,0.484650,0.840619,0.315251,0.915846,0.669397,0.409931
8607,0.470324,0.470900,0.995806,0.393043,0.073976,0.467957,0.996456,0.404097,0.973140,0.322968
4388,0.136981,0.588025,0.744883,0.390253,0.452171,0.035469,0.058643,0.768726,0.739421,0.097807
89045,0.451120,0.976962,0.621781,0.915613,0.394992,0.254817,0.840112,0.714017,0.633728,0.636773
7831,0.880938,0.025159,0.638580,0.958625,0.842691,0.271953,0.852145,0.054109,0.286718,0.380202
5938,0.239393,0.905269,0.886159,0.734327,0.083862,0.953830,0.451433,0.947037,0.951564,0.314831
881,0.318101,0.497106,0.116400,0.724516,0.340098,0.338197,0.616489,0.994270,0.519011,0.844123
69529,0.785645,0.494484,0.759297,0.582458,0.891060,0.151498,0.071436,0.981765,0.220821,0.280047
107447,0.178075,0.041130,0.604889,0.635698,0.755581,0.912738,0.419451,0.915818,0.471830,0.393558
7916,0.388312,0.261962,0.137708,0.755179,0.948983,0.095589,0.916845,0.098503,0.847731,0.967189
3011,0.156224,0.301458,0.639965,0.003685,0.059578,0.892094,0.104577,0.654266,0.670629,0.504153
5558,0.949734,0.810149,0.829635,0.902592,0.468483,0.619818,0.640008,0.010086,0.986548,0.956705
25965,0.770377,0.233112,0.912010,0.459456,0.725381,0.859356,0.575011,0.925195,0.770092,0.516461
2178,0.573449,0.158329,0.163342,0.390714,0.609680,0.303430,0.618069,0.280672,0.196838,0.495215
2617,0.527309,0.466614,0.286155,0.177804,0.974665,0.123482,0.907824,0.632080,0.451400,0.045778
7959,0.938131,0.985394,0.568904,0.609644,0.000331,0.339296,0.093034,0.866804,0.281417,0.383460
45442,0.651651,0.337035,0.899003,0.099473,0.149142,0.326207,0.870467,0.326809,0.895876,0.554673
3870,0.742005,0.560890,0.192153,0.703691,0.523877,0.548008,0.761638,0.703406,0.022993,0.866521
1082,0.580442,0.520453,0.762026,0.706667,0.558750,0.484400,0.145408,0.731943,0.674677,0.592495
95473,0.003495,0.507415,0.594488,0.092939,0.331829,0.887618,0.144204,0.639097,0.720345,0.260971
79006,0.454694,0.918057,0.884059,0.127041,0.351434,0.354987,0.216590,0.665068,0.369182,0.054570
1215,0.254934,0.452734,0.434213,0.650119,0.636018,0.583112,0.994283,0.467201,0.891207,0.322468
3087,0.475890,0.809797,0.849830,0.775054,0.659112,0.148616,0.113389,0.759234,0.293771,0.524676
500,0.175372,0.668146,0.782029,0.699562,0.357311,0.801372,0.969213,0.347019,0.267581,0.298711
1216,0.929569,0.694188,0.662417,0.157692,0.292470,0.307206,0.419426,0.376477,0.618904,0.576787
