movieId,avgRating,numRating
128301,2.75,2
6488,2.93,46
8381,3.55,21
27648,3.15,64
70366,2.02,32
90819,2.75,6
123018,2.00,1
43292,3.18,11
155890,3.25,4
173627,3.25,2
175323,1.70,5
84855,3.46,52
133541,0.50,1
172333,3.50,1
2534,2.03,15
73449,2.90,5
107627,3.61,126
117372,2.34,45
122201,4.50,1
132000,0.00,0
175983,1.00,1
165445,0.00,0
168406,2.67,3
6088,3.22,9
62208,3.76,17
71241,2.93,7
102747,2.97,16
105037,3.02,179
116543,3.00,1
171895,0.00,0
824,3.45,21
5816,3.47,6689
128179,3.50,2
138960,2.25,4
168858,1.00,1
7388,3.40,20
33312,3.73,140
135585,3.75,4
143829,4.50,1
166143,3.70,5
48598,3.54,133
58373,3.36,7
133307,1.62,4
150880,3.33,3
27834,3.87,364
50541,2.92,18
84156,3.80,118
90933,2.94,66
139026,2.00,2
163963,4.50,1
5806,3.29,14
100332,3.00,5
109203,4.25,4
136750,4.00,1
154546,0.00,0
4874,3.53,2828
8379,3.63,62
58274,3.00,6
80566,3.25,2
100452,2.20,10
117348,3.08,6
135549,1.50,1
147424,0.00,0
894,3.17,9
7204,2.78,23
8776,2.50,9
27078,3.21,7
123703,4.00,1
135260,2.00,6
151058,0.00,0
5212,2.28,37
5505,3.06,606
130231,0.00,0
141088,0.00,0
4182,2.93,15
90405,3.34,2429
128441,3.36,11
134111,3.33,3
138640,0.00,0
140102,2.25,2
37729,3.48,3603
87867,2.34,247
115989,0.50,1
155549,2.67,3
164787,5.00,1
149676,1.17,6
149678,3.25,2
1827,3.29,125
26187,3.47,52
71717,3.10,15
80004,4.00,2
112713,3.00,1
120274,2.21,7
109313,3.21,19
157028,0.00,0
4944,2.12,26
5104,3.48,26
70421,3.67,6
70722,3.70,5
81795,4.00,1
97703,2.80,10
163717,3.41,11
727,0.00,0
120930,2.50,6
137351,1.00,1
172793,3.60,10
3723,3.47,279
26809,3.10,24
78461,1.50,1
101388,2.75,2
138466,3.00,1
154568,0.50,1
73572,2.95,84
106970,3.67,6
108265,3.00,4
113238,2.95,10
142919,3.67,3
59590,3.64,132
122735,3.50,2
137761,3.61,28
143705,2.50,1
46574,2.97,77
69339,2.52,28
82991,2.90,5
102119,3.30,5
105091,3.25,14
126251,2.93,7
150064,3.50,1
163607,0.00,0
26925,3.31,128
126100,3.00,1
169668,4.00,5
8729,2.87,19
102417,3.50,1
149468,4.00,2
154792,2.33,3
159423,2.75,2
173219,2.00,1
1394,3.73,2721
7884,3.40,34
121249,4.00,4
139263,4.00,1
139331,0.00,0
150596,3.73,127
5389,3.10,426
112434,3.31,18
5737,1.62,36
153140,3.50,2
162894,2.50,2
165297,4.50,1
72980,3.18,79
77444,3.12,4
110431,2.21,7
123840,2.00,2
140749,2.67,3
149324,3.88,4
165353,2.90,26
309,2.90,5
68597,3.59,23
124833,0.00,0
156826,2.50,1
168610,3.17,6
175867,4.00,1
25739,3.05,11
96176,1.50,1
113309,2.43,7
113755,5.00,1
116289,3.40,15
