movieId,avgRating,numRating
7079,3.00,1
7980,3.00,3
69784,2.17,3
104069,0.00,0
2403,3.21,7
2638,0.00,0
3282,4.00,1
5088,4.50,1
5434,3.50,1
58964,3.00,1
59727,0.00,0
5041,3.00,1
50160,4.00,1
82202,2.67,3
918,3.50,9
6039,3.00,1
568,0.00,0
1327,2.94,8
2644,4.00,6
3399,3.00,1
5218,3.16,25
108192,4.00,1
3742,3.17,9
30894,2.00,1
71838,2.83,3
79357,5.00,1
3616,3.50,1
4189,4.00,1
8577,0.00,0
141886,0.00,0
990,2.50,1
2031,3.25,2
3811,3.33,3
8338,3.50,2
8504,4.50,1
54734,0.00,0
1502,1.75,2
5109,0.00,0
2559,2.50,2
3706,2.90,5
5535,1.00,1
6769,0.00,0
6888,2.06,9
7357,4.00,1
8928,3.50,3
4720,3.38,28
5585,1.00,1
7236,3.00,2
55721,4.12,4
77364,2.83,3
136018,3.50,1
6828,4.00,1
8670,0.00,0
27351,0.00,0
1453,2.62,4
2286,1.67,3
3167,4.42,6
4968,0.00,0
6892,2.50,1
571,4.00,1
2459,3.80,10
4401,4.00,1
98491,5.00,1
59519,3.50,1
1569,2.92,24
2348,3.50,6
4538,0.00,0
6442,3.50,1
8254,0.00,0
8880,2.83,3
26509,0.00,0
111663,1.50,1
1590,2.73,11
4238,2.79,7
5874,1.75,2
6585,2.00,1
42013,1.75,2
109864,2.75,2
2406,3.47,33
3046,2.00,2
5966,2.50,1
31502,2.50,1
82313,0.00,0
85397,1.50,2
4326,4.00,4
8459,4.00,1
56003,3.17,3
1135,3.33,12
4563,2.17,3
141688,0.00,0
1733,0.00,0
1921,3.82,22
4329,3.25,2
5134,3.50,2
47148,0.00,0
103137,0.00,0
6454,3.50,2
7108,0.00,0
8795,2.50,1
50685,3.25,2
60126,2.30,5
80590,2.00,1
116797,3.33,9
83177,2.00,1
2012,3.00,38
2116,3.43,7
4263,4.20,5
4753,0.00,0
5618,4.18,14
6963,4.00,1
58351,4.17,3
110645,0.00,0
92439,2.00,1
19,2.29,31
2246,0.00,0
2857,3.77,13
6056,4.00,1
6305,3.00,1
26409,1.00,1
50954,0.00,0
2859,4.00,3
6294,2.50,3
53024,4.25,2
254,2.50,2
1326,3.50,2
4897,0.00,0
7826,0.00,0
1626,1.67,3
3174,3.03,17
4009,4.50,2
4929,3.00,1
27700,0.00,0
95115,4.50,1
2197,0.00,0
3340,2.67,3
7577,0.00,0
39779,3.50,1
70282,0.00,0
93320,5.00,1
2624,3.00,1
30803,3.50,1
57532,1.00,2
96616,0.00,0
2434,4.00,1
3436,2.50,7
7258,1.50,1
27032,2.75,2
63479,0.00,0
74508,4.00,1
82041,3.50,2
4815,3.00,1
5415,2.88,4
6613,2.25,2
7492,3.00,1
74795,3.00,5
144714,1.50,1
86293,2.17,3
3021,0.00,0
3100,3.68,14
5034,3.33,3
7981,4.25,2
8464,3.53,18
40851,2.88,4
85261,2.50,1
100159,3.50,2
109042,2.00,1
289,2.93,7
2411,2.60,15
74787,0.00,0
91890,3.50,1
130452,3.00,2
133798,1.50,1
160565,2.00,1
144,3.21,12
2946,3.19,8
4054,2.86,7
6695,1.50,1
1552,3.16,32
3605,1.50,2
5193,3.67,3
6728,2.50,1
31956,0.00,0
132496,3.50,1
1909,2.94,17
6638,3.12,4
6368,4.50,1
86345,4.00,3
48817,3.50,1
1096,3.82,14
1836,2.80,5
2068,4.50,4
6410,3.00,2
30816,3.50,2
36931,0.00,0
41285,3.50,10
82378,2.75,2
109374,3.72,9
5343,0.00,0
7358,2.50,1
27685,1.00,1
142068,0.00,0
3682,2.60,5
5333,0.00,0
5785,3.38,8
6966,2.50,1
2099,3.67,9
4388,2.00,11
58146,0.00,0
6214,4.00,5
7627,0.00,0
33794,3.90,34
82459,4.25,10
106438,4.00,3
1406,4.00,1
4706,0.00,0
7135,3.50,3
8622,3.48,23
30883,0.00,0
44709,3.50,1
77291,0.00,0
1224,4.06,8
2985,3.72,30
3857,2.17,3
89085,4.50,1
2244,3.00,1
2304,4.00,2
106022,4.00,1
1837,2.00,3
2395,3.95,22
4622,0.00,0
5524,2.80,5
52606,3.25,2
122490,1.50,1
2021,3.12,16
2574,2.19,8
4863,4.00,1
33138,5.00,1
60161,3.83,3
48791,0.00,0
722,4.00,2
2724,2.84,19
33171,4.30,5
71135,4.30,5
78209,3.00,6
976,2.00,1
1014,3.29,7
43635,4.00,1
51255,3.52,22
96079,3.56,8
105121,1.00,1
6474,0.00,0
160718,4.00,1
79796,3.50,1
236,3.14,14
1944,3.94,9
2100,3.00,25
2651,4.00,1
5633,4.50,1
5745,4.00,1
44195,3.58,13
87306,3.39,9
103810,2.50,3
108506,2.50,1
158783,0.00,0
189,4.00,1
3726,3.50,1
6073,4.00,1
50601,2.50,2
3272,3.36,7
3301,3.14,14
6123,3.50,1
70533,4.00,2
106870,3.00,1
222,3.56,8
1755,3.00,2
3121,3.50,1
3155,2.70,5
7026,2.00,1
2407,3.04,23
4124,1.12,4
68945,3.50,1
75990,0.00,0
96373,0.00,0
2440,4.00,4
2642,2.33,12
8831,2.50,1
90374,3.25,4
97593,3.50,1
115122,4.75,2
133195,1.00,1
153,2.37,34
4359,3.25,6
4528,0.00,0
4539,0.00,0
51698,3.00,1
106540,0.00,0
2360,3.42,6
54272,3.21,14
63515,0.00,0
2570,3.17,3
3438,2.95,10
3041,3.00,1
3347,4.30,5
4080,2.67,3
47728,5.00,1
87298,2.50,2
90647,2.83,3
142448,3.00,1
4769,4.00,2
60756,3.79,7
85213,4.00,1
1589,3.25,10
4550,0.00,0
5066,2.67,6
1010,2.88,8
5043,3.00,1
55577,3.25,2
59126,3.88,4
65088,4.00,1
97225,2.67,3
107382,3.00,1
132,3.50,2
3908,2.50,4
3914,2.50,2
80864,3.50,1
90890,2.00,1
1077,3.92,18
2771,2.33,3
6344,3.50,1
7738,3.50,1
122924,3.00,2
160440,1.50,1
2062,0.00,0
6858,3.25,4
32031,3.12,4
59022,3.00,5
89759,4.25,2
2300,4.23,13
5735,2.75,2
6318,2.50,2
8690,3.00,1
43556,0.00,0
88682,4.00,2
114074,2.83,3
709,3.33,3
1661,2.50,3
2661,3.00,1
4302,5.00,1
103141,3.50,3
1385,2.88,8
2639,3.33,9
3579,2.00,2
5470,4.00,3
56367,3.80,22
292,3.04,34
3294,2.50,1
6835,0.00,0
110871,0.00,0
228,2.00,1
1596,1.00,1
2046,3.61,9
7481,3.83,3
8884,0.00,0
27373,3.50,2
38994,2.00,1
2551,3.75,8
3471,3.98,31
78160,4.00,1
112788,1.25,2
206,2.75,4
3718,0.00,0
4316,3.00,1
5085,3.25,2
6286,4.00,1
7334,3.25,2
77421,3.00,2
114601,2.75,2
842,2.50,2
1841,3.67,3
4814,2.50,6
577,1.00,1
705,2.50,1
25769,4.50,2
341,0.00,0
1277,4.00,8
8828,3.00,1
81,2.50,7
2340,2.92,13
8838,4.00,2
58376,3.50,1
95858,4.00,1
3217,0.00,0
4566,5.00,1
27022,4.00,2
104,3.02,32
3052,3.21,40
31903,0.00,0
64997,2.50,1
70336,2.42,6
1991,3.07,7
3812,3.38,8
4770,0.00,0
79274,4.00,1
2513,2.86,11
4710,3.00,1
7063,4.17,6
8491,4.25,2
27875,0.00,0
70488,3.50,1
86377,4.00,3
264,0.00,0
433,3.00,1
938,3.81,8
1824,4.00,2
27800,3.50,2
34143,2.25,2
78111,2.00,1
1321,3.62,21
2481,4.50,1
6806,3.00,1
7616,0.00,0
910,3.88,28
6721,4.00,2
1377,3.05,37
5069,3.00,1
57845,0.00,0
1961,3.74,40
2899,3.67,3
5342,0.00,0
7072,3.75,2
5172,1.00,1
45521,0.00,0
3045,3.00,3
3734,3.67,3
4101,4.50,1
5833,3.00,3
7117,3.00,1
8057,3.00,1
66066,0.50,1
5541,3.25,8
74545,3.42,6
90357,4.00,1
142240,0.00,0
2693,3.92,6
2915,3.02,22
3259,3.00,12
103384,1.00,1
3061,3.43,7
4516,0.00,0
5613,0.00,0
7131,3.50,1
2566,0.00,0
51575,2.50,1
78116,3.50,2
142192,3.50,1
1369,2.00,1
2429,3.00,4
5965,3.00,1
7372,3.00,1
158,3.03,15
2414,3.00,3
26198,2.50,1
31364,4.00,1
62081,4.00,1
1526,2.00,5
4231,2.50,2
93363,3.12,4
1610,3.76,39
1760,2.00,5
58972,2.50,2
141668,0.00,0
7,3.26,17
1323,2.00,2
2114,3.30,10
32853,3.75,2
45942,4.00,1
92509,4.00,1
95067,2.50,1
280,3.72,9
3696,4.33,3
7700,4.75,2
7872,2.50,1
1949,3.62,8
2716,3.71,50
3784,3.00,2
8369,3.00,4
8797,4.50,1
99795,4.50,1
6107,0.00,0
7842,2.88,4
8370,4.17,3
74630,3.00,1
8487,2.75,2
981,0.00,0
1099,3.93,7
2019,4.05,22
3091,4.33,3
3281,5.00,1
7002,0.00,0
7023,3.00,1
26788,3.50,1
32666,0.00,0
34338,3.83,3
58975,2.50,1
806,2.40,5
1046,4.00,2
2412,2.45,11
7570,3.38,4
47152,4.25,2
71264,3.33,6
201,0.00,0
5303,2.57,7
6498,0.00,0
8790,3.00,1
71700,1.50,1
3309,4.50,1
57353,0.00,0
107649,0.00,0
64229,3.50,1
1935,3.58,6
5266,3.24,19
7382,3.00,1
8947,1.80,5
33587,4.00,1
36401,2.50,7
56885,3.00,1
101850,5.00,1
1284,3.88,16
3370,4.00,1
119655,1.00,1
3723,3.67,3
59805,0.00,0
86781,5.00,1
98126,0.00,0
108583,4.17,3
5630,3.50,17
40833,2.50,1
115151,2.00,1
118326,0.00,0
2037,3.50,2
4275,2.88,4
4426,4.00,1
65037,5.00,1
140739,0.00,0
724,2.83,9
2160,3.85,20
3674,3.00,2
71755,5.00,1
135436,1.00,1
79868,3.50,1
552,3.24,17
4712,0.00,0
5417,3.00,5
6743,3.50,3
7916,3.50,2
59669,3.00,1
64701,3.00,1
132952,0.00,0
350,3.26,19
4447,2.86,21
5859,3.00,1
59306,0.00,0
1334,2.89,9
3893,2.44,8
7764,3.00,1
844,0.00,0
4675,2.00,2
90057,4.00,1
1663,3.50,19
4890,2.44,17
8147,3.50,2
132157,1.50,1
140741,0.00,0
1307,3.87,31
3991,1.38,4
4195,4.00,1
5047,2.67,3
32302,0.00,0
986,3.20,5
5297,4.00,2
115174,0.00,0
1498,2.67,3
1882,1.93,15
2708,4.00,1
3882,2.82,11
5694,1.83,3
27704,2.50,1
62434,3.38,8
53,0.00,0
198,3.17,12
1996,2.00,2
2533,2.57,7
6240,3.00,2
2537,0.00,0
